Dish Name,Category,Serving Size,Calories (kcal),Carbs (g),Protein (g),Fat (g),Notes
Ginataang Sitaw at Kalabasa,Lunch/Dinner,1 cup (200g),280,22,8,18,String beans & squash in coconut
Inihaw na Liempo,Lunch/Dinner,150g,520,3,28,42,Grilled pork belly
Chicken Inasal,Lunch/Dinner,1 quarter (200g),320,4,28,20,Grilled chicken Bacolod-style
Lechon Kawali,Lunch/Dinner,120g,480,6,20,36,Crispy pan-fried pork belly
Crispy Pata,Lunch/Dinner,150g,650,4,30,50,Deep-fried pork knuckle
Bistek Tagalog,Lunch/Dinner,1 cup (200g),300,10,28,16,Beef steak with onions & soy
Giniling (Pork),Lunch/Dinner,1 cup (200g),320,14,24,18,Ground pork with peas & carrots
Tokwa't Baboy,Snack/Lunch,1 plate (200g),320,14,22,18,Fried tofu & pork in vinegar
Sinigang na Baboy,Lunch/Dinner,1 bowl (250g),300,8,22,20,Sour tamarind soup
Sinigang na Baka,Lunch/Dinner,1 bowl (250g),320,8,24,22,Beef version
Sinigang na Hipon,Lunch/Dinner,1 bowl (250g),250,7,20,15,Shrimp version
Sinigang sa Miso (Bangus),Lunch/Dinner,1 bowl (250g),280,9,22,16,Milkfish in miso-tamarind soup
Tinola (Chicken),Lunch/Dinner,1 bowl (250g),210,6,25,10,Ginger broth with papaya & sayote
Nilagang Baka,Lunch/Dinner,1 bowl (250g),280,10,24,16,Boiled beef soup with veggies
Bulalo,Lunch/Dinner,1 bowl (300g),480,10,30,34,Bone marrow beef shank soup
Sinigang sa Bayabas,Lunch/Dinner,1 bowl (250g),270,10,20,14,Guava-based sour soup
Pininyahang Manok,Lunch/Dinner,1 cup (200g),320,16,22,18,Chicken with pineapple
Pochero (Luzon),Lunch/Dinner,1 bowl (300g),380,22,24,18,Banana & tomato broth
Pochero (Visayas),Lunch/Dinner,1 bowl (300g),420,24,26,20,With chorizo & saba
Humba (Visayas),Lunch/Dinner,1 cup (200g),420,16,22,28,Braised pork with black beans
Igado (Ilocos),Lunch/Dinner,1 cup (200g),340,10,24,22,Pork & liver stew
Papaitan (Ilocos),Lunch/Dinner,1 bowl (250g),260,6,24,14,Bitter beef innards soup
Bagnet (Ilocos),Lunch/Dinner,120g,520,3,22,40,Crispy deep-fried pork
Dinuguan,Lunch/Dinner,1 cup (200g),300,8,20,20,Pork blood stew
Pinangat (Bicol),Lunch/Dinner,1 cup (200g),300,12,12,22,Taro leaves in coconut parcels
Relyenong Bangus,Lunch/Dinner,1 slice (150g),360,10,26,22,Stuffed milkfish
Embutido,Lunch/Dinner,1 slice (120g),280,16,14,16,Filipino meatloaf
Lumpiang Shanghai,Snack/Lunch,4 pcs (120g),320,28,14,18,Fried pork spring rolls
Lumpiang Gulay,Snack/Lunch,2 pcs (120g),260,30,6,10,Vegetable spring rolls
Fresh Lumpia (Lumpiang Sariwa),Snack/Lunch,1 roll (200g),280,36,8,10,With peanut sauce
Ukoy (Shrimp Fritters),Snack,2 pcs (120g),300,28,10,16,Crispy fritters
Okoy Kalabasa,Snack,2 pcs (120g),280,30,8,14,Squash fritters
Inihaw na Pusit,Lunch/Dinner,150g,220,6,28,8,Grilled squid
Inihaw na Bangus,Lunch/Dinner,150g,260,0,30,14,Grilled milkfish
Inihaw na Tilapia,Lunch/Dinner,150g,240,0,28,12,Grilled tilapia
Kinilaw na Tanigue,Lunch/Dinner,150g,220,6,26,8,Filipino ceviche
Kilawing Puso ng Saging,Lunch/Dinner,1 cup (200g),240,16,8,14,Banana blossom salad in vinegar
Ginisang Munggo,Lunch/Dinner,1 cup (200g),260,36,16,6,Mung bean stew
Munggo with Chicharon,Lunch/Dinner,1 cup (220g),320,36,18,10,With pork cracklings
Ginisang Ampalaya,Lunch/Dinner,1 cup (200g),180,14,10,8,Bitter gourd with egg
Chopsuey,Lunch/Dinner,1 cup (200g),220,22,10,8,Stir-fried mixed vegetables
Pakbet Tagalog,Lunch/Dinner,1 cup (200g),190,20,8,7,Veg medley with bagoong
Isaw Manok,Snack/Street,3 sticks (90g),240,6,18,16,Grilled chicken intestines
Isaw Baboy,Snack/Street,3 sticks (90g),260,6,16,18,Grilled pork intestines
Betamax (Dugo),Snack/Street,3 pcs (90g),210,9,14,12,Grilled pork blood
Adidas (Chicken Feet),Snack/Street,3 pcs (120g),220,6,16,12,Grilled chicken feet
Helmet (Chicken Head),Snack/Street,2 pcs (120g),240,4,18,14,Grilled chicken head
Kwek-Kwek,Snack/Street,6 pcs (150g),420,42,18,20,Quail eggs in orange batter
Tokneneng,Snack/Street,3 pcs (180g),450,40,22,24,Chicken egg battered & fried
Fishball,Snack/Street,10 pcs (120g),260,28,8,10,With sweet or spicy sauce
Kikiam,Snack/Street,6 pcs (150g),320,30,12,14,Street variant
Squidball,Snack/Street,8 pcs (140g),300,28,10,14,Popular street snack
Calamares (Fried Squid),Snack/Street,1 plate (180g),420,30,22,22,Fried battered squid
Balut (Fertilized Duck Egg),Snack/Street,1 egg (70g),188,2,13,14,Street delicacy
Penoy (Unfertilized Duck Egg),Snack/Street,1 egg (60g),160,2,12,12,Boiled duck egg
Ensaymada,Snack/Dessert,1 piece (80g),280,35,6,12,Buttery brioche with cheese
Spanish Bread,Snack,1 piece (60g),200,30,4,6,Sweet filled bread
Monay,Snack,1 piece (80g),220,40,6,3,Dense bread roll
Hopia (Mongo),Snack/Dessert,1 piece (50g),210,28,4,8,Flaky pastry with mung bean
Bibingka,Snack/Dessert,1 slice (100g),220,45,4,3,Rice cake
Puto,Snack/Dessert,1 piece (40g),90,20,2,1,Steamed rice cake
Kutsinta,Snack/Dessert,1 piece (40g),70,15,1,0.5,Sticky rice cake
Biko,Snack/Dessert,1 slice (120g),320,60,4,8,Sticky rice with coconut & sugar
Sapin-Sapin,Snack/Dessert,1 slice (100g),250,55,3,5,Layered sticky rice dessert
Maja Blanca,Snack/Dessert,1 slice (120g),280,40,4,10,Coconut milk pudding
Palitaw,Snack/Dessert,1 piece (50g),120,25,2,2,Coated with sugar & coconut
Suman Malagkit,Snack/Dessert,1 piece (80g),200,42,3,2,Sticky rice roll
Cassava Cake,Snack/Dessert,1 slice (120g),320,50,4,10,Baked cassava dessert
Ube Halaya,Dessert,1 slice (100g),260,50,3,5,Purple yam jam
Leche Flan,Dessert,1 slice (80g),300,50,7,10,Rich custard dessert
Halo-Halo,Dessert,1 glass,350,75,6,5,Shaved ice dessert
Mais con Yelo,Dessert,1 glass,280,62,4,3,Sweet corn with milk & ice
Saba con Yelo,Dessert,1 glass,300,65,3,3,Caramelized banana with milk & ice
Turon,Snack/Dessert,1 piece (80g),150,30,2,5,Banana spring roll
Banana Cue,Snack/Dessert,1 stick (100g),200,45,2,6,Caramelized saba banana
Camote Cue,Snack/Dessert,1 stick (120g),220,48,2,5,Caramelized sweet potato
Kansi (Bacolod),Lunch/Dinner,1 bowl (300g),420,10,28,30,Sour beef marrow soup
"KBL (Kadios, Baboy, Langka)",Lunch/Dinner,1 bowl (300g),380,20,26,20,Ilonggo sour stew
Laswa (Iloilo),Lunch/Dinner,1 bowl (250g),180,18,8,6,Light vegetable soup
Piyanggang Manok (Tausug),Lunch/Dinner,1 cup (200g),340,8,26,22,Chicken with burnt coconut
Tiyula Itum (Tausug),Lunch/Dinner,1 bowl (300g),360,12,28,22,Black soup with burnt coconut
Piaparan (Maranao),Lunch/Dinner,1 cup (200g),360,14,24,22,Coconut & turmeric
Pastil (Maguindanao),Snack/Lunch,1 pack (180g),420,60,16,10,Rice with shredded chicken
Tinowa (Cebu),Lunch/Dinner,1 bowl (250g),240,6,26,10,Clear fish soup
Linarang (Cebu),Lunch/Dinner,1 bowl (250g),300,10,24,16,Sour-savory fish stew
Kinilaw na Lato,Snack/Lunch,1 cup (150g),120,10,4,4,Seaweed salad
Bringhe (Kapampangan Paella),Lunch/Dinner,1 plate (300g),520,78,18,12,Sticky rice paella
Morcon,Lunch/Dinner,1 slice (150g),360,12,24,22,Stuffed beef roulade
Callos (Filipino),Lunch/Dinner,1 cup (200g),320,16,24,18,Tripe stew
Tinapa Fried Rice,Breakfast/Lunch,1 cup (200g),320,50,10,8,Smoked fish fried rice
Gising-Gising,Lunch/Dinner,1 cup (200g),300,14,14,20,Spicy coconut green beans
Pritong Tilapia,Lunch/Dinner,150g,280,0,28,16,Fried tilapia
Pritong Bangus,Lunch/Dinner,150g,300,0,30,18,Fried milkfish
Inasal na Baboy,Lunch/Dinner,150g,420,6,28,30,Grilled pork inasal
Tinapang Galunggong,Lunch/Dinner,120g,240,0,24,14,Smoked round scad
Lumpiang Togue,Snack,2 pcs (120g),240,28,6,10,Bean sprout lumpia
Binagoongan (Pork),Lunch/Dinner,1 cup (200g),360,12,24,24,Pork in shrimp paste
Ginataang Hipon,Lunch/Dinner,1 cup (200g),340,12,24,22,Shrimp in coconut milk
Ginataang Gulay (Mixed),Lunch/Dinner,1 cup (200g),280,22,8,18,Mixed veggies in coconut milk
Tinapa at Kamatis,Breakfast/Lunch,1 plate (150g),220,8,16,12,Smoked fish with tomato
Arroz Valenciana,Lunch/Dinner,1 plate (300g),540,80,18,12,Fiesta rice dish
Pritong Manok,Lunch/Dinner,150g,360,6,28,22,Fried chicken
Inihaw na Manok,Lunch/Dinner,150g,320,4,28,20,Grilled chicken
Skinless Longganisa,Breakfast,2 links (80g),280,6,12,22,Homemade style
Pork Tocino,Breakfast/Lunch,100g,290,20,12,18,Sweet cured pork
Beef Tapa,Breakfast/Lunch,100g,260,6,20,16,Cured beef strips
Luncheon Meatsilog,Breakfast,1 set,620,62,20,30,Luncheon Meat + sinangag + itlog
Tinapasilog,Breakfast,1 set,560,58,26,18,Tinapa + sinangag + itlog
Bangus Bellysilog,Breakfast,1 set,600,60,28,22,Bangus Belly + sinangag + itlog
Embutidosilog,Breakfast,1 set,640,60,22,26,Embutido + sinangag + itlog
Chickensilog,Breakfast,1 set,590,60,28,20,Chicken + sinangag + itlog
Tunasilog,Breakfast,1 set,560,58,30,16,Tuna + sinangag + itlog
Sardinassilog,Breakfast,1 set,540,60,20,16,Sardinas + sinangag + itlog
Corned Tunasilog,Breakfast,1 set,550,60,26,18,Corned Tuna + sinangag + itlog
Sisigsilog,Breakfast,1 set,700,60,24,38,Sisig + sinangag + itlog
Bisteksilog,Breakfast,1 set,650,58,30,26,Bistek + sinangag + itlog
Pichi-Pichi,Snack/Dessert,1 slice/piece (80-120g),343,37,2,6,Traditional Filipino kakanin
Puto Bumbong,Snack/Dessert,1 slice/piece (80-120g),242,44,3,3,Traditional Filipino kakanin
Suman sa Lihiya,Snack/Dessert,1 slice/piece (80-120g),353,64,2,11,Traditional Filipino kakanin
Suman sa Ibus,Snack/Dessert,1 slice/piece (80-120g),288,32,2,3,Traditional Filipino kakanin
Butsi,Snack/Dessert,1 slice/piece (80-120g),235,44,6,11,Traditional Filipino kakanin
Cassava Suman,Snack/Dessert,1 slice/piece (80-120g),186,65,3,12,Traditional Filipino kakanin
Binignit,Snack/Dessert,1 slice/piece (80-120g),359,64,5,5,Traditional Filipino kakanin
Kalamay,Snack/Dessert,1 slice/piece (80-120g),294,67,4,2,Traditional Filipino kakanin
Tibok-Tibok,Snack/Dessert,1 slice/piece (80-120g),220,57,4,6,Traditional Filipino kakanin
Yema,Snack/Dessert,1 slice/piece (80-120g),219,43,4,3,Traditional Filipino kakanin
Polvoron,Snack/Dessert,1 slice/piece (80-120g),203,54,2,7,Traditional Filipino kakanin
Pastillas,Snack/Dessert,1 slice/piece (80-120g),268,68,4,2,Traditional Filipino kakanin
Canonigo,Snack/Dessert,1 slice/piece (80-120g),297,64,2,8,Traditional Filipino kakanin
Brazo de Mercedes,Snack/Dessert,1 slice/piece (80-120g),200,65,4,12,Traditional Filipino kakanin
Sylvanas,Snack/Dessert,1 slice/piece (80-120g),338,53,6,5,Traditional Filipino kakanin
Sans Rival,Snack/Dessert,1 slice/piece (80-120g),360,34,2,12,Traditional Filipino kakanin
Napoleones,Snack/Dessert,1 slice/piece (80-120g),238,48,2,5,Traditional Filipino kakanin
Piaya,Snack/Dessert,1 slice/piece (80-120g),205,54,4,9,Traditional Filipino kakanin
Barquillos,Snack/Dessert,1 slice/piece (80-120g),342,53,3,7,Traditional Filipino kakanin
Otap,Snack/Dessert,1 slice/piece (80-120g),270,43,4,12,Traditional Filipino kakanin
Rosquillos,Snack/Dessert,1 slice/piece (80-120g),345,34,6,12,Traditional Filipino kakanin
Bañadas,Snack/Dessert,1 slice/piece (80-120g),223,64,3,4,Traditional Filipino kakanin
Pan de Coco,Snack/Dessert,1 slice/piece (80-120g),298,54,4,12,Traditional Filipino kakanin
Sinangag (Garlic Fried Rice) (Small Serving),Breakfast,1 cup (150g),150,30,3,2,"Paired with tapa, tocino, or longganisa"
Sinangag (Garlic Fried Rice) (Large Serving),Breakfast,1 cup (150g),250,50,5,3,"Paired with tapa, tocino, or longganisa"
Sinangag (Garlic Fried Rice) (Spicy Variant),Breakfast,1 cup (150g),200,40,4,3,"Paired with tapa, tocino, or longganisa; spicy"
Sinangag (Garlic Fried Rice) (Low-Sodium),Breakfast,1 cup (150g),200,40,4,3,"Paired with tapa, tocino, or longganisa; reduced salt"
Sinangag (Garlic Fried Rice) (With Brown Rice),Breakfast,1 cup (150g),210,48,4,3,"Paired with tapa, tocino, or longganisa; whole grain option"
Sinangag (Garlic Fried Rice) (Fiesta Portion),Breakfast,1 cup (150g),280,56,5,4,"Paired with tapa, tocino, or longganisa"
Sinangag (Garlic Fried Rice) (Budget Bowl),Breakfast,1 cup (150g),170,34,3,2,"Paired with tapa, tocino, or longganisa"
Longganisa w/ Rice (Small Serving),Breakfast,1 link + 1 cup rice,337,41,11,15,Common silog breakfast
Longganisa w/ Rice (Large Serving),Breakfast,1 link + 1 cup rice,562,68,18,25,Common silog breakfast
Longganisa w/ Rice (Spicy Variant),Breakfast,1 link + 1 cup rice,450,55,15,20,Common silog breakfast; spicy
Longganisa w/ Rice (Low-Sodium),Breakfast,1 link + 1 cup rice,450,55,15,20,Common silog breakfast; reduced salt
Longganisa w/ Rice (With Brown Rice),Breakfast,1 link + 1 cup rice,472,63,15,21,Common silog breakfast; whole grain option
Longganisa w/ Rice (Fiesta Portion),Breakfast,1 link + 1 cup rice,630,77,21,28,Common silog breakfast
Longganisa w/ Rice (Budget Bowl),Breakfast,1 link + 1 cup rice,382,46,12,17,Common silog breakfast
Tapsilog (Small Serving),Breakfast,1 set,487,45,22,18,Tapa + sinangag + itlog
Tapsilog (Large Serving),Breakfast,1 set,812,75,37,31,Tapa + sinangag + itlog
Tapsilog (Spicy Variant),Breakfast,1 set,650,60,30,25,Tapa + sinangag + itlog; spicy
Tapsilog (Low-Sodium),Breakfast,1 set,650,60,30,25,Tapa + sinangag + itlog; reduced salt
Tapsilog (With Brown Rice),Breakfast,1 set,682,69,31,26,Tapa + sinangag + itlog; whole grain option
Tapsilog (Fiesta Portion),Breakfast,1 set,909,84,42,35,Tapa + sinangag + itlog
Tapsilog (Budget Bowl),Breakfast,1 set,552,51,25,21,Tapa + sinangag + itlog
Tocilog (Small Serving),Breakfast,1 set,465,46,19,18,Tocino + sinangag + itlog
Tocilog (Large Serving),Breakfast,1 set,775,77,32,30,Tocino + sinangag + itlog
Tocilog (Spicy Variant),Breakfast,1 set,620,62,26,24,Tocino + sinangag + itlog; spicy
Tocilog (Low-Sodium),Breakfast,1 set,620,62,26,24,Tocino + sinangag + itlog; reduced salt
Tocilog (With Brown Rice),Breakfast,1 set,651,71,27,25,Tocino + sinangag + itlog; whole grain option
Tocilog (Fiesta Portion),Breakfast,1 set,868,86,36,33,Tocino + sinangag + itlog
Tocilog (Budget Bowl),Breakfast,1 set,527,52,22,20,Tocino + sinangag + itlog
Bangsilog (Small Serving),Breakfast,1 set,412,43,20,13,Bangus + sinangag + itlog
Bangsilog (Large Serving),Breakfast,1 set,687,72,33,22,Bangus + sinangag + itlog
Bangsilog (Spicy Variant),Breakfast,1 set,550,58,27,18,Bangus + sinangag + itlog; spicy
Bangsilog (Low-Sodium),Breakfast,1 set,550,58,27,18,Bangus + sinangag + itlog; reduced salt
Bangsilog (With Brown Rice),Breakfast,1 set,577,66,28,18,Bangus + sinangag + itlog; whole grain option
Bangsilog (Fiesta Portion),Breakfast,1 set,770,81,37,25,Bangus + sinangag + itlog
Bangsilog (Budget Bowl),Breakfast,1 set,467,49,22,15,Bangus + sinangag + itlog
Hotsilog (Small Serving),Breakfast,1 set,390,45,13,15,Hotdog + sinangag + itlog
Hotsilog (Large Serving),Breakfast,1 set,650,75,22,25,Hotdog + sinangag + itlog
Hotsilog (Spicy Variant),Breakfast,1 set,520,60,18,20,Hotdog + sinangag + itlog; spicy
Hotsilog (Low-Sodium),Breakfast,1 set,520,60,18,20,Hotdog + sinangag + itlog; reduced salt
Hotsilog (With Brown Rice),Breakfast,1 set,546,69,18,21,Hotdog + sinangag + itlog; whole grain option
Hotsilog (Fiesta Portion),Breakfast,1 set,728,84,25,28,Hotdog + sinangag + itlog
Hotsilog (Budget Bowl),Breakfast,1 set,442,51,15,17,Hotdog + sinangag + itlog
Spamsilog (Small Serving),Breakfast,1 set,525,46,16,26,Spam + sinangag + itlog
Spamsilog (Large Serving),Breakfast,1 set,875,77,27,43,Spam + sinangag + itlog
Spamsilog (Spicy Variant),Breakfast,1 set,700,62,22,35,Spam + sinangag + itlog; spicy
Spamsilog (Low-Sodium),Breakfast,1 set,700,62,22,35,Spam + sinangag + itlog; reduced salt
Spamsilog (With Brown Rice),Breakfast,1 set,735,71,23,36,Spam + sinangag + itlog; whole grain option
Spamsilog (Fiesta Portion),Breakfast,1 set,979,86,30,49,Spam + sinangag + itlog
Spamsilog (Budget Bowl),Breakfast,1 set,595,52,18,29,Spam + sinangag + itlog
Cornsilog (Small Serving),Breakfast,1 set,450,47,15,18,Corned beef + sinangag + itlog
Cornsilog (Large Serving),Breakfast,1 set,750,78,25,30,Corned beef + sinangag + itlog
Cornsilog (Spicy Variant),Breakfast,1 set,600,63,20,24,Corned beef + sinangag + itlog; spicy
Cornsilog (Low-Sodium),Breakfast,1 set,600,63,20,24,Corned beef + sinangag + itlog; reduced salt
Cornsilog (With Brown Rice),Breakfast,1 set,630,72,21,25,Corned beef + sinangag + itlog; whole grain option
Cornsilog (Fiesta Portion),Breakfast,1 set,840,88,28,33,Corned beef + sinangag + itlog
Cornsilog (Budget Bowl),Breakfast,1 set,510,53,17,20,Corned beef + sinangag + itlog
Baconsilog (Small Serving),Breakfast,1 set,510,45,18,26,Bacon + sinangag + itlog
Baconsilog (Large Serving),Breakfast,1 set,850,75,30,43,Bacon + sinangag + itlog
Baconsilog (Spicy Variant),Breakfast,1 set,680,60,24,35,Bacon + sinangag + itlog; spicy
Baconsilog (Low-Sodium),Breakfast,1 set,680,60,24,35,Bacon + sinangag + itlog; reduced salt
Baconsilog (With Brown Rice),Breakfast,1 set,714,69,25,36,Bacon + sinangag + itlog; whole grain option
Baconsilog (Fiesta Portion),Breakfast,1 set,951,84,33,49,Bacon + sinangag + itlog
Baconsilog (Budget Bowl),Breakfast,1 set,578,51,20,29,Bacon + sinangag + itlog
Dangsilog (Small Serving),Breakfast,1 set,397,43,18,13,Dried fish + sinangag + itlog
Dangsilog (Large Serving),Breakfast,1 set,662,72,31,22,Dried fish + sinangag + itlog
Dangsilog (Spicy Variant),Breakfast,1 set,530,58,25,18,Dried fish + sinangag + itlog; spicy
Dangsilog (Low-Sodium),Breakfast,1 set,530,58,25,18,Dried fish + sinangag + itlog; reduced salt
Dangsilog (With Brown Rice),Breakfast,1 set,556,66,26,18,Dried fish + sinangag + itlog; whole grain option
Dangsilog (Fiesta Portion),Breakfast,1 set,742,81,35,25,Dried fish + sinangag + itlog
Dangsilog (Budget Bowl),Breakfast,1 set,450,49,21,15,Dried fish + sinangag + itlog
Adobolog (Small Serving),Breakfast,1 set,480,45,21,18,Adobo + sinangag + itlog
Adobolog (Large Serving),Breakfast,1 set,800,76,35,30,Adobo + sinangag + itlog
Adobolog (Spicy Variant),Breakfast,1 set,640,61,28,24,Adobo + sinangag + itlog; spicy
Adobolog (Low-Sodium),Breakfast,1 set,640,61,28,24,Adobo + sinangag + itlog; reduced salt
Adobolog (With Brown Rice),Breakfast,1 set,672,70,29,25,Adobo + sinangag + itlog; whole grain option
Adobolog (Fiesta Portion),Breakfast,1 set,896,85,39,33,Adobo + sinangag + itlog
Adobolog (Budget Bowl),Breakfast,1 set,544,51,23,20,Adobo + sinangag + itlog
Lugaw (Rice Porridge) (Small Serving),Breakfast/Snack,1 bowl (200g),135,28,3,1,Light meal or merienda
Lugaw (Rice Porridge) (Large Serving),Breakfast/Snack,1 bowl (200g),225,47,5,2,Light meal or merienda
Lugaw (Rice Porridge) (Spicy Variant),Breakfast/Snack,1 bowl (200g),180,38,4,2,Light meal or merienda; spicy
Lugaw (Rice Porridge) (Low-Sodium),Breakfast/Snack,1 bowl (200g),180,38,4,2,Light meal or merienda; reduced salt
Lugaw (Rice Porridge) (With Brown Rice),Breakfast/Snack,1 bowl (200g),189,45,4,2,Light meal or merienda; whole grain option
Lugaw (Rice Porridge) (Fiesta Portion),Breakfast/Snack,1 bowl (200g),251,53,5,2,Light meal or merienda
Lugaw (Rice Porridge) (Budget Bowl),Breakfast/Snack,1 bowl (200g),153,32,3,1,Light meal or merienda
Goto (Tripe Porridge) (Small Serving),Breakfast/Snack,1 bowl (250g),195,30,9,4,With beef tripe
Goto (Tripe Porridge) (Large Serving),Breakfast/Snack,1 bowl (250g),325,50,15,7,With beef tripe
Goto (Tripe Porridge) (Spicy Variant),Breakfast/Snack,1 bowl (250g),260,40,12,6,With beef tripe; spicy
Goto (Tripe Porridge) (Low-Sodium),Breakfast/Snack,1 bowl (250g),260,40,12,6,With beef tripe; reduced salt
Goto (Tripe Porridge) (With Brown Rice),Breakfast/Snack,1 bowl (250g),273,48,12,6,With beef tripe; whole grain option
Goto (Tripe Porridge) (Fiesta Portion),Breakfast/Snack,1 bowl (250g),364,56,16,8,With beef tripe
Goto (Tripe Porridge) (Budget Bowl),Breakfast/Snack,1 bowl (250g),221,34,10,5,With beef tripe
Arroz Caldo (Chicken) (Small Serving),Breakfast/Snack,1 bowl (250g),225,31,12,6,Ginger rice porridge
Arroz Caldo (Chicken) (Large Serving),Breakfast/Snack,1 bowl (250g),375,52,20,10,Ginger rice porridge
Arroz Caldo (Chicken) (Spicy Variant),Breakfast/Snack,1 bowl (250g),300,42,16,8,Ginger rice porridge; spicy
Arroz Caldo (Chicken) (Low-Sodium),Breakfast/Snack,1 bowl (250g),300,42,16,8,Ginger rice porridge; reduced salt
Arroz Caldo (Chicken) (With Brown Rice),Breakfast/Snack,1 bowl (250g),315,50,16,8,Ginger rice porridge; whole grain option
Arroz Caldo (Chicken) (Fiesta Portion),Breakfast/Snack,1 bowl (250g),420,58,22,11,Ginger rice porridge
Arroz Caldo (Chicken) (Budget Bowl),Breakfast/Snack,1 bowl (250g),255,35,13,6,Ginger rice porridge
Champorado (Small Serving),Breakfast,1 bowl (200g),187,41,4,3,Chocolate rice porridge
Champorado (Large Serving),Breakfast,1 bowl (200g),312,68,7,5,Chocolate rice porridge
Champorado (Spicy Variant),Breakfast,1 bowl (200g),250,55,6,4,Chocolate rice porridge; spicy
Champorado (Low-Sodium),Breakfast,1 bowl (200g),250,55,6,4,Chocolate rice porridge; reduced salt
Champorado (With Brown Rice),Breakfast,1 bowl (200g),262,63,6,4,Chocolate rice porridge; whole grain option
Champorado (Fiesta Portion),Breakfast,1 bowl (200g),350,77,8,5,Chocolate rice porridge
Champorado (Budget Bowl),Breakfast,1 bowl (200g),212,46,5,3,Chocolate rice porridge
