"Dish Name",Category,"Serving Size","Calories (kcal)","Carbs (g)","Protein (g)","Fat (g)",Notes,Ingredients
Taho,Breakfast/Snack,"1 cup (250ml)",180,30,6,3,"Soft tofu with arnibal & sago","Soft tofu, Brown sugar syrup (arnibal), Tapioca pearls (sago), Vanilla extract (optional)"
"Omelette w/ Tomatoes",Breakfast,"1 serving",220,5,14,16,"Simple Filipino omelette","Eggs, Tomatoes, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Tortang Talong",Breakfast/Lunch,"1 piece (150g)",230,12,10,15,"Eggplant omelette","Eggplant, Eggs, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Tortang Giniling",Breakfast/Lunch,"1 slice (150g)",320,10,18,22,"Ground pork omelette","Ground pork, Eggs, Onion, Garlic, Salt, Black pepper, Cooking oil, Potatoes (optional)"
"Pancit Canton",Snack/Lunch,"1 plate (250g)",400,55,18,12,"Stir-fried egg noodles","Egg noodles, Chicken or pork, Shrimp, Cabbage, Carrots, Green beans, Onion, Garlic, Soy sauce, Oyster sauce, Cooking oil, Salt, Black pepper"
"Pancit Bihon",Snack/Lunch,"1 plate (250g)",380,58,15,10,"Rice noodles with veg & meat","Rice noodles, Chicken or pork, Shrimp, Cabbage, Carrots, Green beans, Onion, Garlic, Soy sauce, Fish sauce, Cooking oil, Salt, Black pepper"
"Pancit Malabon",Snack/Lunch,"1 plate (250g)",420,60,20,14,"Seafood pancit","Thick rice noodles, Shrimp, Squid, Oysters, Hard-boiled eggs, Chicharon, Onion, Garlic, Annatto powder, Shrimp paste, Cooking oil"
"Pancit Palabok",Snack/Lunch,"1 plate (250g)",450,62,18,14,"Shrimp sauce, chicharon, egg","Rice noodles, Shrimp, Shrimp paste, Hard-boiled eggs, Chicharon, Tofu, Onion, Garlic, Annatto powder, Cooking oil, Calamansi"
"Pancit Habhab (Lucban)",Snack/Lunch,"1 plate (250g)",380,56,16,10,"Served on banana leaf","Rice noodles, Pork, Vegetables, Onion, Garlic, Soy sauce, Vinegar, Banana leaf"
"Sotanghon Guisado",Snack/Lunch,"1 plate (250g)",360,54,16,8,"Glass noodles stir-fry","Glass noodles, Chicken or pork, Cabbage, Carrots, Green beans, Onion, Garlic, Soy sauce, Cooking oil, Salt, Black pepper"
"Lomi (Batangas)",Lunch/Dinner,"1 bowl (300g)",480,62,20,16,"Thick egg noodle soup","Thick egg noodles, Pork, Chicken liver, Shrimp, Vegetables, Onion, Garlic, Soy sauce, Cornstarch, Cooking oil, Spring onion"
"Batchoy (La Paz)",Lunch/Dinner,"1 bowl (300g)",520,48,22,22,"With pork innards & chicharon","Egg noodles, Pork, Pork innards, Chicharon, Onion, Garlic, Fish sauce, Black pepper, Spring onion, Calamansi"
"Sopas (Macaroni Soup)",Snack/Lunch,"1 bowl (300g)",350,42,16,12,"Creamy chicken macaroni soup","Macaroni, Chicken, Milk or cream, Carrots, Cabbage, Onion, Garlic, Butter, Salt, Black pepper"
"Adobo (Chicken)",Lunch/Dinner,"1 cup (200g)",250,5,25,15,"Soy-vinegar stew","Chicken, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo (Pork)",Lunch/Dinner,"1 cup (200g)",330,6,28,22,"Classic ulam","Pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Sugar, Cooking oil, Water"
"Adobo sa Gata",Lunch/Dinner,"1 cup (200g)",380,8,26,26,"Adobo with coconut milk","Chicken or pork, Soy sauce, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Coconut milk, Cooking oil, Water"
"Adobong Puti",Lunch/Dinner,"1 cup (200g)",300,4,27,18,"Adobo without soy sauce","Chicken or pork, Vinegar, Garlic, Bay leaves, Black peppercorns, Onion, Salt, Cooking oil, Water"
"Paksiw na Lechon",Lunch/Dinner,"1 cup (200g)",420,10,24,30,"Lechon in vinegar sauce","Lechon (roasted pig), Vinegar, Garlic, Bay leaves, Black peppercorns, Sugar, Salt, Water"
"Paksiw na Isda",Lunch/Dinner,"1 cup (200g)",220,4,24,12,"Fish stewed in vinegar","Fish, Vinegar, Ginger, Garlic, Onion, Salt, Black pepper, Water, Green chili (optional)"
Kare-Kare,Lunch/Dinner,"1 cup stew + 1 cup rice",700,65,30,35,"Peanut stew, bagoong on side","Oxtail or tripe, Peanut butter, Annatto powder, Eggplant, String beans, Banana heart, Bok choy, Onion, Garlic, Shrimp paste (bagoong), Cooking oil, Water"
"Caldereta (Beef)",Lunch/Dinner,"1 cup (200g)",350,18,26,20,"Tomato-based beef stew","Beef, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Liver spread, Cheese, Green olives, Cooking oil, Salt, Black pepper"
"Menudo (Pork)",Lunch/Dinner,"1 cup (200g)",280,12,22,18,"Tomato-based pork stew","Pork, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Raisins, Green peas, Liver, Cooking oil, Salt, Black pepper"
"Afritada (Chicken)",Lunch/Dinner,"1 cup (200g)",290,15,23,14,"Chicken in tomato sauce","Chicken, Tomato sauce, Potatoes, Carrots, Bell peppers, Onion, Garlic, Bay leaves, Cooking oil, Salt, Black pepper"
"Mechado (Beef)",Lunch/Dinner,"1 cup (200g)",340,16,26,18,"Beef stew with larded pork","Beef, Tomato sauce, Potatoes, Carrots, Onion, Garlic, Bay leaves, Pork fat (lard), Soy sauce, Cooking oil, Salt, Black pepper"
"Bicol Express",Lunch/Dinner,"1 cup (150g)",400,12,18,30,"Spicy pork in coconut milk","Pork, Coconut milk, Shrimp paste, Green chili peppers, Onion, Garlic, Ginger, Cooking oil, Salt"
Laing,Lunch/Dinner,"1 cup (150g)",350,20,10,28,"Dried taro leaves in coconut","Dried taro leaves, Coconut milk, Pork or shrimp, Shrimp paste, Green chili peppers, Onion, Garlic, Ginger, Cooking oil, Salt"
"Pinakbet (Ilocano)",Lunch/Dinner,"1 cup (200g)",180,20,8,6,"Veg stew with bagoong","Eggplant, Okra, Bitter melon, String beans, Squash, Tomatoes, Onion, Garlic, Shrimp paste (bagoong), Pork (optional), Cooking oil, Water"
Dinengdeng,Lunch/Dinner,"1 bowl (250g)",160,18,10,5,"Light veg soup with grilled fish","Grilled fish, Eggplant, Okra, String beans, Bitter melon, Tomatoes, Onion, Garlic, Fish sauce, Water"
"Ginataang Sitaw at Kalabasa",Lunch/Dinner,"1 cup (200g)",280,22,8,18,"String beans & squash in coconut","String beans, Squash, Coconut milk, Shrimp or pork, Onion, Garlic, Ginger, Green chili (optional), Cooking oil, Salt"
"Inihaw na Liempo",Lunch/Dinner,150g,520,3,28,42,"Grilled pork belly","Pork belly, Salt, Black pepper, Garlic, Calamansi, Soy sauce, Cooking oil"
"Chicken Inasal",Lunch/Dinner,"1 quarter (200g)",320,4,28,20,"Grilled chicken Bacolod-style","Chicken, Lemongrass, Garlic, Ginger, Calamansi, Vinegar, Annatto powder, Salt, Black pepper, Cooking oil"
"Lechon Kawali",Lunch/Dinner,120g,480,6,20,36,"Crispy pan-fried pork belly","Pork belly, Salt, Black pepper, Garlic, Bay leaves, Water, Cooking oil"
"Crispy Pata",Lunch/Dinner,150g,650,4,30,50,"Deep-fried pork knuckle","Pork knuckle, Salt, Black pepper, Garlic, Bay leaves, Water, Cooking oil"
"Bistek Tagalog",Lunch/Dinner,"1 cup (200g)",300,10,28,16,"Beef steak with onions & soy","Beef sirloin, Soy sauce, Calamansi juice, Onion, Garlic, Black pepper, Bay leaves, Sugar, Cooking oil, Water"
"Giniling (Pork)",Lunch/Dinner,"1 cup (200g)",320,14,24,18,"Ground pork with peas & carrots","Ground pork, Potatoes, Carrots, Green peas, Onion, Garlic, Tomato sauce, Soy sauce, Cooking oil, Salt, Black pepper"
"Tokwa't Baboy",Snack/Lunch,"1 plate (200g)",320,14,22,18,"Fried tofu & pork in vinegar","Tofu, Pork, Vinegar, Soy sauce, Onion, Garlic, Sugar, Salt, Black pepper, Cooking oil"
"Sinigang na Baboy",Lunch/Dinner,"1 bowl (250g)",300,8,22,20,"Sour tamarind soup","Pork, Tamarind (or sinigang mix), Tomatoes, Onion, Radish, Eggplant, Okra, String beans, Kangkong (water spinach), Fish sauce, Water, Salt"
"Sinigang na Baka",Lunch/Dinner,"1 bowl (250g)",320,8,24,22,"Beef version","Beef, Tamarind (or sinigang mix), Tomatoes, Onion, Radish, Eggplant, Okra, String beans, Kangkong (water spinach), Fish sauce, Water, Salt"
"Sinigang na Hipon",Lunch/Dinner,"1 bowl (250g)",250,7,20,15,"Shrimp version","Shrimp, Tamarind (or sinigang mix), Tomatoes, Onion, Radish, Eggplant, Okra, String beans, Kangkong (water spinach), Fish sauce, Water, Salt"
"Sinigang sa Miso (Bangus)",Lunch/Dinner,"1 bowl (250g)",280,9,22,16,"Milkfish in miso-tamarind soup","Bangus (milkfish), Miso paste, Tamarind (or sinigang mix), Tomatoes, Onion, Radish, Eggplant, Okra, String beans, Kangkong (water spinach), Fish sauce, Water, Salt"
"Tinola (Chicken)",Lunch/Dinner,"1 bowl (250g)",210,6,25,10,"Ginger broth with papaya & sayote","Chicken, Ginger, Onion, Garlic, Green papaya or chayote, Chili leaves or malunggay, Fish sauce, Water, Salt, Black pepper"
"Nilagang Baka",Lunch/Dinner,"1 bowl (250g)",280,10,24,16,"Boiled beef soup with veggies","Beef, Potatoes, Cabbage, Carrots, Onion, Garlic, Bay leaves, Black peppercorns, Water, Salt"
Bulalo,Lunch/Dinner,"1 bowl (300g)",480,10,30,34,"Bone marrow beef shank soup","Beef shank with bone marrow, Corn, Potatoes, Cabbage, Onion, Garlic, Bay leaves, Black peppercorns, Water, Salt, Fish sauce"
"Sinigang sa Bayabas",Lunch/Dinner,"1 bowl (250g)",270,10,20,14,"Guava-based sour soup","Pork or fish, Guava, Tomatoes, Onion, Radish, Eggplant, Okra, String beans, Kangkong (water spinach), Fish sauce, Water, Salt"
"Pininyahang Manok",Lunch/Dinner,"1 cup (200g)",320,16,22,18,"Chicken with pineapple","Chicken, Pineapple chunks, Carrots, Bell peppers, Onion, Garlic, Tomato sauce, Soy sauce, Cooking oil, Salt, Black pepper"
"Pochero (Luzon)",Lunch/Dinner,"1 bowl (300g)",380,22,24,18,"Banana & tomato broth","Beef, Saba banana, Potatoes, Cabbage, Tomatoes, Onion, Garlic, Tomato sauce, Bay leaves, Water, Salt, Black pepper"
"Pochero (Visayas)",Lunch/Dinner,"1 bowl (300g)",420,24,26,20,"With chorizo & saba","Beef, Saba banana, Chorizo, Potatoes, Cabbage, Tomatoes, Onion, Garlic, Tomato sauce, Bay leaves, Water, Salt, Black pepper"
"Humba (Visayas)",Lunch/Dinner,"1 cup (200g)",420,16,22,28,"Braised pork with black beans","Pork, Black beans, Soy sauce, Vinegar, Brown sugar, Garlic, Onion, Bay leaves, Black peppercorns, Water, Salt"
"Igado (Ilocos)",Lunch/Dinner,"1 cup (200g)",340,10,24,22,"Pork & liver stew","Pork, Pork liver, Bell peppers, Carrots, Onion, Garlic, Soy sauce, Vinegar, Bay leaves, Black peppercorns, Cooking oil, Salt, Black pepper"
"Papaitan (Ilocos)",Lunch/Dinner,"1 bowl (250g)",260,6,24,14,"Bitter beef innards soup","Beef innards (tripe, liver, heart), Bile, Ginger, Onion, Garlic, Green chili, Vinegar, Water, Salt, Black pepper"
"Bagnet (Ilocos)",Lunch/Dinner,120g,520,3,22,40,"Crispy deep-fried pork","Pork belly, Salt, Black pepper, Garlic, Bay leaves, Water, Cooking oil"
Dinuguan,Lunch/Dinner,"1 cup (200g)",300,8,20,20,"Pork blood stew","Pork, Pork blood, Vinegar, Onion, Garlic, Green chili, Bay leaves, Sugar, Salt, Black pepper, Cooking oil"
"Pinangat (Bicol)",Lunch/Dinner,"1 cup (200g)",300,12,12,22,"Taro leaves in coconut parcels","Taro leaves, Coconut milk, Fish or shrimp, Onion, Garlic, Ginger, Green chili, Shrimp paste, Cooking oil, Salt"
"Relyenong Bangus",Lunch/Dinner,"1 slice (150g)",360,10,26,22,"Stuffed milkfish","Bangus (milkfish), Ground pork, Onion, Garlic, Carrots, Raisins, Eggs, Salt, Black pepper, Cooking oil"
Embutido,Lunch/Dinner,"1 slice (120g)",280,16,14,16,"Filipino meatloaf","Ground pork, Carrots, Raisins, Pickles, Onion, Garlic, Eggs, Breadcrumbs, Salt, Black pepper, Cooking oil"
"Lumpiang Shanghai",Snack/Lunch,"4 pcs (120g)",320,28,14,18,"Fried pork spring rolls","Ground pork, Carrots, Onion, Garlic, Spring onion, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Gulay",Snack/Lunch,"2 pcs (120g)",260,30,6,10,"Vegetable spring rolls","Cabbage, Carrots, String beans, Green beans, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Fresh Lumpia (Lumpiang Sariwa)",Snack/Lunch,"1 roll (200g)",280,36,8,10,"With peanut sauce","Cabbage, Carrots, String beans, Jicama, Shrimp, Pork, Onion, Garlic, Lumpia wrapper, Peanut sauce, Lettuce"
"Ukoy (Shrimp Fritters)",Snack,"2 pcs (120g)",300,28,10,16,"Crispy fritters","Shrimp, Sweet potato, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Okoy Kalabasa",Snack,"2 pcs (120g)",280,30,8,14,"Squash fritters","Squash, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Inihaw na Pusit",Lunch/Dinner,150g,220,6,28,8,"Grilled squid","Squid, Salt, Black pepper, Garlic, Calamansi, Soy sauce, Cooking oil"
"Inihaw na Bangus",Lunch/Dinner,150g,260,0,30,14,"Grilled milkfish","Bangus (milkfish), Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Tilapia",Lunch/Dinner,150g,240,0,28,12,"Grilled tilapia","Tilapia, Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Kinilaw na Tanigue",Lunch/Dinner,150g,220,6,26,8,"Filipino ceviche","Tanigue (Spanish mackerel), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kilawing Puso ng Saging",Lunch/Dinner,"1 cup (200g)",240,16,8,14,"Banana blossom salad in vinegar","Banana heart, Vinegar, Onion, Ginger, Chili, Salt, Black pepper"
"Ginisang Munggo",Lunch/Dinner,"1 cup (200g)",260,36,16,6,"Mung bean stew","Mung beans, Pork or shrimp, Onion, Garlic, Tomatoes, Spinach or malunggay, Fish sauce, Cooking oil, Water, Salt, Black pepper"
"Munggo with Chicharon",Lunch/Dinner,"1 cup (220g)",320,36,18,10,"With pork cracklings","Mung beans, Pork, Chicharon, Onion, Garlic, Tomatoes, Spinach or malunggay, Fish sauce, Cooking oil, Water, Salt, Black pepper"
"Ginisang Ampalaya",Lunch/Dinner,"1 cup (200g)",180,14,10,8,"Bitter gourd with egg","Bitter gourd, Eggs, Onion, Garlic, Tomatoes, Fish sauce, Cooking oil, Salt, Black pepper"
Chopsuey,Lunch/Dinner,"1 cup (200g)",220,22,10,8,"Stir-fried mixed vegetables","Mixed vegetables (cabbage, carrots, bell peppers, snow peas, mushrooms), Chicken or pork, Onion, Garlic, Soy sauce, Oyster sauce, Cornstarch, Cooking oil, Salt, Black pepper"
"Pakbet Tagalog",Lunch/Dinner,"1 cup (200g)",190,20,8,7,"Veg medley with bagoong","Eggplant, Okra, String beans, Squash, Tomatoes, Onion, Garlic, Shrimp paste (bagoong), Pork (optional), Cooking oil, Water"
"Isaw Manok",Snack/Street,"3 sticks (90g)",240,6,18,16,"Grilled chicken intestines","Chicken intestines, Vinegar, Salt, Black pepper, Cooking oil"
"Isaw Baboy",Snack/Street,"3 sticks (90g)",260,6,16,18,"Grilled pork intestines","Pork intestines, Vinegar, Salt, Black pepper, Cooking oil"
"Betamax (Dugo)",Snack/Street,"3 pcs (90g)",210,9,14,12,"Grilled pork blood","Pork blood, Salt, Black pepper, Cooking oil"
"Adidas (Chicken Feet)",Snack/Street,"3 pcs (120g)",220,6,16,12,"Grilled chicken feet","Chicken feet, Vinegar, Salt, Black pepper, Cooking oil"
"Helmet (Chicken Head)",Snack/Street,"2 pcs (120g)",240,4,18,14,"Grilled chicken head","Chicken head, Vinegar, Salt, Black pepper, Cooking oil"
Kwek-Kwek,Snack/Street,"6 pcs (150g)",420,42,18,20,"Quail eggs in orange batter","Quail eggs, All-purpose flour, Cornstarch, Annatto powder, Salt, Black pepper, Cooking oil"
Tokneneng,Snack/Street,"3 pcs (180g)",450,40,22,24,"Chicken egg battered & fried","Chicken eggs, All-purpose flour, Cornstarch, Annatto powder, Salt, Black pepper, Cooking oil"
Fishball,Snack/Street,"10 pcs (120g)",260,28,8,10,"With sweet or spicy sauce","Fish, All-purpose flour, Cornstarch, Salt, Black pepper, Cooking oil, Sweet or spicy sauce"
Kikiam,Snack/Street,"6 pcs (150g)",320,30,12,14,"Street variant","Ground pork, Carrots, Onion, Garlic, Salt, Black pepper, Wrapper, Cooking oil"
Squidball,Snack/Street,"8 pcs (140g)",300,28,10,14,"Popular street snack","Squid, All-purpose flour, Cornstarch, Salt, Black pepper, Cooking oil"
"Calamares (Fried Squid)",Snack/Street,"1 plate (180g)",420,30,22,22,"Fried battered squid","Squid, All-purpose flour, Cornstarch, Salt, Black pepper, Cooking oil, Calamansi"
"Balut (Fertilized Duck Egg)",Snack/Street,"1 egg (70g)",188,2,13,14,"Street delicacy","Fertilized duck egg, Salt, Vinegar"
"Penoy (Unfertilized Duck Egg)",Snack/Street,"1 egg (60g)",160,2,12,12,"Boiled duck egg","Unfertilized duck egg, Salt"
Ensaymada,Snack/Dessert,"1 piece (80g)",280,35,6,12,"Buttery brioche with cheese","Flour, Yeast, Sugar, Butter, Eggs, Milk, Cheese, Salt"
"Spanish Bread",Snack,"1 piece (60g)",200,30,4,6,"Sweet filled bread","Flour, Yeast, Sugar, Butter, Eggs, Milk, Breadcrumbs, Salt"
Monay,Snack,"1 piece (80g)",220,40,6,3,"Dense bread roll","Flour, Yeast, Sugar, Salt, Water, Butter"
"Hopia (Mongo)",Snack/Dessert,"1 piece (50g)",210,28,4,8,"Flaky pastry with mung bean","Flour, Mung beans, Sugar, Lard or shortening, Salt"
Bibingka,Snack/Dessert,"1 slice (100g)",220,45,4,3,"Rice cake","Rice flour, Coconut milk, Sugar, Eggs, Butter, Salt, Baking powder"
Puto,Snack/Dessert,"1 piece (40g)",90,20,2,1,"Steamed rice cake","Rice flour, Sugar, Baking powder, Water, Salt"
Kutsinta,Snack/Dessert,"1 piece (40g)",70,15,1,0.5,"Sticky rice cake","Rice flour, Brown sugar, Lye water, Water"
Biko,Snack/Dessert,"1 slice (120g)",320,60,4,8,"Sticky rice with coconut & sugar","Glutinous rice, Coconut milk, Brown sugar, Salt"
Sapin-Sapin,Snack/Dessert,"1 slice (100g)",250,55,3,5,"Layered sticky rice dessert","Glutinous rice flour, Coconut milk, Sugar, Ube, Langka, Salt"
"Maja Blanca",Snack/Dessert,"1 slice (120g)",280,40,4,10,"Coconut milk pudding","Cornstarch, Coconut milk, Sugar, Sweet corn, Salt"
Palitaw,Snack/Dessert,"1 piece (50g)",120,25,2,2,"Coated with sugar & coconut","Glutinous rice flour, Coconut, Sugar, Sesame seeds, Water"
"Suman Malagkit",Snack/Dessert,"1 piece (80g)",200,42,3,2,"Sticky rice roll","Glutinous rice, Coconut milk, Salt, Banana leaves"
"Cassava Cake",Snack/Dessert,"1 slice (120g)",320,50,4,10,"Baked cassava dessert","Cassava, Coconut milk, Sugar, Eggs, Butter, Condensed milk, Salt"
"Ube Halaya",Dessert,"1 slice (100g)",260,50,3,5,"Purple yam jam","Purple yam (ube), Coconut milk, Sugar, Butter, Condensed milk, Salt"
"Leche Flan",Dessert,"1 slice (80g)",300,50,7,10,"Rich custard dessert","Eggs, Condensed milk, Evaporated milk, Sugar, Vanilla extract, Salt"
Halo-Halo,Dessert,"1 glass",350,75,6,5,"Shaved ice dessert","Shaved ice, Evaporated milk, Sweetened beans, Coconut strips, Jackfruit, Banana, Gelatin, Tapioca pearls, Purple yam (ube), Leche flan, Sugar"
"Mais con Yelo",Dessert,"1 glass",280,62,4,3,"Sweet corn with milk & ice","Sweet corn, Shaved ice, Evaporated milk, Sugar"
"Saba con Yelo",Dessert,"1 glass",300,65,3,3,"Caramelized banana with milk & ice","Saba banana, Shaved ice, Evaporated milk, Sugar, Caramel"
Turon,Snack/Dessert,"1 piece (80g)",150,30,2,5,"Banana spring roll","Saba banana, Brown sugar, Lumpia wrapper, Cooking oil"
"Banana Cue",Snack/Dessert,"1 stick (100g)",200,45,2,6,"Caramelized saba banana","Saba banana, Brown sugar, Cooking oil"
"Camote Cue",Snack/Dessert,"1 stick (120g)",220,48,2,5,"Caramelized sweet potato","Sweet potato, Brown sugar, Cooking oil"
"Kansi (Bacolod)",Lunch/Dinner,"1 bowl (300g)",420,10,28,30,"Sour beef marrow soup","Beef shank, Batwan or tamarind, Onion, Garlic, Ginger, Water, Salt, Black pepper"
"KBL (Kadios, Baboy, Langka)",Lunch/Dinner,"1 bowl (300g)",380,20,26,20,"Ilonggo sour stew","Pork, Kadios beans, Jackfruit, Onion, Garlic, Ginger, Vinegar, Water, Salt, Black pepper"
"Laswa (Iloilo)",Lunch/Dinner,"1 bowl (250g)",180,18,8,6,"Light vegetable soup","Mixed vegetables, Shrimp, Onion, Garlic, Fish sauce, Water, Salt"
"Piyanggang Manok (Tausug)",Lunch/Dinner,"1 cup (200g)",340,8,26,22,"Chicken with burnt coconut","Chicken, Burnt coconut, Turmeric, Onion, Garlic, Ginger, Coconut milk, Cooking oil, Salt, Black pepper"
"Tiyula Itum (Tausug)",Lunch/Dinner,"1 bowl (300g)",360,12,28,22,"Black soup with burnt coconut","Beef or chicken, Burnt coconut, Turmeric, Onion, Garlic, Ginger, Coconut milk, Cooking oil, Water, Salt, Black pepper"
"Piaparan (Maranao)",Lunch/Dinner,"1 cup (200g)",360,14,24,22,"Coconut & turmeric","Chicken, Coconut milk, Turmeric, Onion, Garlic, Ginger, Green chili, Cooking oil, Salt, Black pepper"
"Pastil (Maguindanao)",Snack/Lunch,"1 pack (180g)",420,60,16,10,"Rice with shredded chicken","Rice, Shredded chicken, Onion, Garlic, Turmeric, Cooking oil, Salt, Black pepper, Banana leaf"
"Tinowa (Cebu)",Lunch/Dinner,"1 bowl (250g)",240,6,26,10,"Clear fish soup","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Water, Salt, Black pepper"
"Linarang (Cebu)",Lunch/Dinner,"1 bowl (250g)",300,10,24,16,"Sour-savory fish stew","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Vinegar, Water, Salt, Black pepper"
"Kinilaw na Lato",Snack/Lunch,"1 cup (150g)",120,10,4,4,"Seaweed salad","Seaweed (lato), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Bringhe (Kapampangan Paella)",Lunch/Dinner,"1 plate (300g)",520,78,18,12,"Sticky rice paella","Glutinous rice, Chicken, Shrimp, Coconut milk, Turmeric, Onion, Garlic, Bell peppers, Raisins, Cooking oil, Salt, Black pepper"
Morcon,Lunch/Dinner,"1 slice (150g)",360,12,24,22,"Stuffed beef roulade","Beef, Hard-boiled eggs, Carrots, Pickles, Onion, Garlic, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Callos (Filipino)",Lunch/Dinner,"1 cup (200g)",320,16,24,18,"Tripe stew","Beef tripe, Onion, Garlic, Tomatoes, Bell peppers, Green olives, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Tinapa Fried Rice",Breakfast/Lunch,"1 cup (200g)",320,50,10,8,"Smoked fish fried rice","Smoked fish (tinapa), Rice, Garlic, Onion, Eggs, Cooking oil, Salt, Black pepper"
Gising-Gising,Lunch/Dinner,"1 cup (200g)",300,14,14,20,"Spicy coconut green beans","Green beans, Coconut milk, Pork, Shrimp paste, Onion, Garlic, Green chili, Cooking oil, Salt"
"Pritong Tilapia",Lunch/Dinner,150g,280,0,28,16,"Fried tilapia","Tilapia, Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Bangus",Lunch/Dinner,150g,300,0,30,18,"Fried milkfish","Bangus (milkfish), Salt, Black pepper, Cooking oil, Calamansi"
"Inasal na Baboy",Lunch/Dinner,150g,420,6,28,30,"Grilled pork inasal","Pork, Lemongrass, Garlic, Ginger, Calamansi, Vinegar, Annatto powder, Salt, Black pepper, Cooking oil"
"Tinapang Galunggong",Lunch/Dinner,120g,240,0,24,14,"Smoked round scad","Smoked round scad (galunggong), Salt, Cooking oil, Calamansi"
"Lumpiang Togue",Snack,"2 pcs (120g)",240,28,6,10,"Bean sprout lumpia","Bean sprouts, Carrots, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
