"Dish Name",Category,"Serving Size","Calories (kcal)","Carbs (g)","Protein (g)","Fat (g)",Notes,Ingredients
"Caldereta (Beef)",Lunch/Dinner,"1 cup (200g)",350,18,26,20,"Tomato-based beef stew","Beef, Tomato"
"Menudo (Pork)",Lunch/Dinner,"1 cup (200g)",280,12,22,18,"Tomato-based pork stew","Pork, Tomato"
"Afritada (Chicken)",Lunch/Dinner,"1 cup (200g)",290,15,23,14,"Chicken in tomato sauce","Chicken, Tomato"
"Mechado (Beef)",Lunch/Dinner,"1 cup (200g)",340,16,26,18,"Beef stew with larded pork","Beef, Larded pork, Pork"
"Bicol Express",Lunch/Dinner,"1 cup (150g)",400,12,18,30,"Spicy pork in coconut milk","Coconut, Coconut milk, Pork"
Laing,Lunch/Dinner,"1 cup (150g)",350,20,10,28,"Dried taro leaves in coconut","Coconut, Taro, Taro leaves"
"Pinakbet (Ilocano)",Lunch/Dinner,"1 cup (200g)",180,20,8,6,"Veg stew with bagoong",Bagoong
Dinengdeng,Lunch/Dinner,"1 bowl (250g)",160,18,10,5,"Light veg soup with grilled fish","Fish, Grilled fish"
"Ginataang Sitaw at Kalabasa",Lunch/Dinner,"1 cup (200g)",280,22,8,18,"String beans & squash in coconut","Coconut, Coconut milk, Squash, String beans"
"Inihaw na Liempo",Lunch/Dinner,150g,520,3,28,42,"Grilled pork belly",Pork
"Chicken Inasal",Lunch/Dinner,"1 quarter (200g)",320,4,28,20,"Grilled chicken Bacolod-style",Chicken
"Lechon Kawali",Lunch/Dinner,120g,480,6,20,36,"Crispy pan-fried pork belly",Pork
"Crispy Pata",Lunch/Dinner,150g,650,4,30,50,"Deep-fried pork knuckle",Pork
"Bistek Tagalog",Lunch/Dinner,"1 cup (200g)",300,10,28,16,"Beef steak with onions & soy","Beef, Onion, Onions & soy"
"Giniling (Pork)",Lunch/Dinner,"1 cup (200g)",320,14,24,18,"Ground pork with peas & carrots","Carrots, Peas, Peas & carrots, Pork"
"Tokwa't Baboy",Snack/Lunch,"1 plate (200g)",320,14,22,18,"Fried tofu & pork in vinegar",Pork
"Sinigang na Baboy",Lunch/Dinner,"1 bowl (250g)",300,8,22,20,"Sour tamarind soup","Pork, Tamarind, Vegetables"
"Sinigang na Baka",Lunch/Dinner,"1 bowl (250g)",320,8,24,22,"Beef version","Beef, Tamarind, Vegetables"
"Sinigang na Hipon",Lunch/Dinner,"1 bowl (250g)",250,7,20,15,"Shrimp version","Hipon, Shrimp, Tamarind, Vegetables"
"Sinigang sa Miso (Bangus)",Lunch/Dinner,"1 bowl (250g)",280,9,22,16,"Milkfish in miso-tamarind soup","Bangus, Fish, Tamarind, Vegetables"
"Tinola (Chicken)",Lunch/Dinner,"1 bowl (250g)",210,6,25,10,"Ginger broth with papaya & sayote","Chayote, Chicken, Papaya, Papaya & sayote"
"Nilagang Baka",Lunch/Dinner,"1 bowl (250g)",280,10,24,16,"Boiled beef soup with veggies","Beef, Egg, Veggies"
Bulalo,Lunch/Dinner,"1 bowl (300g)",480,10,30,34,"Bone marrow beef shank soup",Beef
"Sinigang sa Bayabas",Lunch/Dinner,"1 bowl (250g)",270,10,20,14,"Guava-based sour soup","Tamarind, Vegetables"
"Pininyahang Manok",Lunch/Dinner,"1 cup (200g)",320,16,22,18,"Chicken with pineapple","Chicken, Pineapple"
"Pochero (Luzon)",Lunch/Dinner,"1 bowl (300g)",380,22,24,18,"Banana & tomato broth","Banana, Tomato"
"Pochero (Visayas)",Lunch/Dinner,"1 bowl (300g)",420,24,26,20,"With chorizo & saba","Chorizo & saba, Saba"
"Humba (Visayas)",Lunch/Dinner,"1 cup (200g)",420,16,22,28,"Braised pork with black beans","Black beans, Pork"
"Igado (Ilocos)",Lunch/Dinner,"1 cup (200g)",340,10,24,22,"Pork & liver stew","Liver, Pork"
"Papaitan (Ilocos)",Lunch/Dinner,"1 bowl (250g)",260,6,24,14,"Bitter beef innards soup","Beef, Innards"
"Bagnet (Ilocos)",Lunch/Dinner,120g,520,3,22,40,"Crispy deep-fried pork",Pork
Dinuguan,Lunch/Dinner,"1 cup (200g)",300,8,20,20,"Pork blood stew","Blood, Pork"
"Pinangat (Bicol)",Lunch/Dinner,"1 cup (200g)",300,12,12,22,"Taro leaves in coconut parcels","Coconut, Taro, Taro leaves"
"Relyenong Bangus",Lunch/Dinner,"1 slice (150g)",360,10,26,22,"Stuffed milkfish","Bangus, Fish"
Embutido,Lunch/Dinner,"1 slice (120g)",280,16,14,16,"Filipino meatloaf","Rice, Vegetables"
"Lumpiang Shanghai",Snack/Lunch,"4 pcs (120g)",320,28,14,18,"Fried pork spring rolls","Lumpia wrapper, Pork"
"Lumpiang Gulay",Snack/Lunch,"2 pcs (120g)",260,30,6,10,"Vegetable spring rolls","Gulay, Lumpia wrapper"
"Fresh Lumpia (Lumpiang Sariwa)",Snack/Lunch,"1 roll (200g)",280,36,8,10,"With peanut sauce","Lumpia wrapper, Peanut sauce"
"Ukoy (Shrimp Fritters)",Snack,"2 pcs (120g)",300,28,10,16,"Crispy fritters",Shrimp
"Okoy Kalabasa",Snack,"2 pcs (120g)",280,30,8,14,"Squash fritters",Squash
"Inihaw na Pusit",Lunch/Dinner,150g,220,6,28,8,"Grilled squid","Pusit, Squid"
"Inihaw na Bangus",Lunch/Dinner,150g,260,0,30,14,"Grilled milkfish","Bangus, Fish"
"Inihaw na Tilapia",Lunch/Dinner,150g,240,0,28,12,"Grilled tilapia",Tilapia
"Kinilaw na Tanigue",Lunch/Dinner,150g,220,6,26,8,"Filipino ceviche","Rice, Vegetables"
"Kilawing Puso ng Saging",Lunch/Dinner,"1 cup (200g)",240,16,8,14,"Banana blossom salad in vinegar",Banana
"Ginisang Munggo",Lunch/Dinner,"1 cup (200g)",260,36,16,6,"Mung bean stew","Mung bean"
"Munggo with Chicharon",Lunch/Dinner,"1 cup (220g)",320,36,18,10,"With pork cracklings","Chicharo, Chicharon, Mung bean, Pork, Pork cracklings"
"Ginisang Ampalaya",Lunch/Dinner,"1 cup (200g)",180,14,10,8,"Bitter gourd with egg","Bitter gourd, Egg"
Chopsuey,Lunch/Dinner,"1 cup (200g)",220,22,10,8,"Stir-fried mixed vegetables",Vegetables
"Pakbet Tagalog",Lunch/Dinner,"1 cup (200g)",190,20,8,7,"Veg medley with bagoong",Bagoong
"Isaw Manok",Snack/Street,"3 sticks (90g)",240,6,18,16,"Grilled chicken intestines",Chicken
"Isaw Baboy",Snack/Street,"3 sticks (90g)",260,6,16,18,"Grilled pork intestines",Pork
"Betamax (Dugo)",Snack/Street,"3 pcs (90g)",210,9,14,12,"Grilled pork blood","Blood, Dugo, Pork"
"Adidas (Chicken Feet)",Snack/Street,"3 pcs (120g)",220,6,16,12,"Grilled chicken feet",Chicken
"Helmet (Chicken Head)",Snack/Street,"2 pcs (120g)",240,4,18,14,"Grilled chicken head",Chicken
Kwek-Kwek,Snack/Street,"6 pcs (150g)",420,42,18,20,"Quail eggs in orange batter","Egg, Quail"
Tokneneng,Snack/Street,"3 pcs (180g)",450,40,22,24,"Chicken egg battered & fried","Chicken, Egg"
Fishball,Snack/Street,"10 pcs (120g)",260,28,8,10,"With sweet or spicy sauce","Fish, Sweet or spicy sauce"
Kikiam,Snack/Street,"6 pcs (150g)",320,30,12,14,"Street variant","Rice, Vegetables"
Squidball,Snack/Street,"8 pcs (140g)",300,28,10,14,"Popular street snack",Squid
"Calamares (Fried Squid)",Snack/Street,"1 plate (180g)",420,30,22,22,"Fried battered squid",Squid
"Balut (Fertilized Duck Egg)",Snack/Street,"1 egg (70g)",188,2,13,14,"Street delicacy","Duck, Egg"
"Penoy (Unfertilized Duck Egg)",Snack/Street,"1 egg (60g)",160,2,12,12,"Boiled duck egg","Duck, Egg"
Ensaymada,Snack/Dessert,"1 piece (80g)",280,35,6,12,"Buttery brioche with cheese",Cheese
"Spanish Bread",Snack,"1 piece (60g)",200,30,4,6,"Sweet filled bread","Rice, Vegetables"
Monay,Snack,"1 piece (80g)",220,40,6,3,"Dense bread roll","Rice, Vegetables"
"Hopia (Mongo)",Snack/Dessert,"1 piece (50g)",210,28,4,8,"Flaky pastry with mung bean","Mung bean"
Bibingka,Snack/Dessert,"1 slice (100g)",220,45,4,3,"Rice cake",Rice
Puto,Snack/Dessert,"1 piece (40g)",90,20,2,1,"Steamed rice cake",Rice
Kutsinta,Snack/Dessert,"1 piece (40g)",70,15,1,0.5,"Sticky rice cake",Rice
Biko,Snack/Dessert,"1 slice (120g)",320,60,4,8,"Sticky rice with coconut & sugar","Coconut, Coconut & sugar, Rice"
Sapin-Sapin,Snack/Dessert,"1 slice (100g)",250,55,3,5,"Layered sticky rice dessert",Rice
"Maja Blanca",Snack/Dessert,"1 slice (120g)",280,40,4,10,"Coconut milk pudding","Coconut, Coconut milk"
Palitaw,Snack/Dessert,"1 piece (50g)",120,25,2,2,"Coated with sugar & coconut","Coconut, Sugar & coconut"
"Suman Malagkit",Snack/Dessert,"1 piece (80g)",200,42,3,2,"Sticky rice roll",Rice
"Cassava Cake",Snack/Dessert,"1 slice (120g)",320,50,4,10,"Baked cassava dessert","Rice, Vegetables"
"Ube Halaya",Dessert,"1 slice (100g)",260,50,3,5,"Purple yam jam","Rice, Vegetables"
"Leche Flan",Dessert,"1 slice (80g)",300,50,7,10,"Rich custard dessert","Rice, Vegetables"
Halo-Halo,Dessert,"1 glass",350,75,6,5,"Shaved ice dessert","Rice, Vegetables"
"Mais con Yelo",Dessert,"1 glass",280,62,4,3,"Sweet corn with milk & ice","Milk & ice"
"Saba con Yelo",Dessert,"1 glass",300,65,3,3,"Caramelized banana with milk & ice","Banana, Milk & ice, Saba"
Turon,Snack/Dessert,"1 piece (80g)",150,30,2,5,"Banana spring roll",Banana
"Banana Cue",Snack/Dessert,"1 stick (100g)",200,45,2,6,"Caramelized saba banana","Banana, Saba"
"Camote Cue",Snack/Dessert,"1 stick (120g)",220,48,2,5,"Caramelized sweet potato",Potato
"Kansi (Bacolod)",Lunch/Dinner,"1 bowl (300g)",420,10,28,30,"Sour beef marrow soup",Beef
"KBL (Kadios, Baboy, Langka)",Lunch/Dinner,"1 bowl (300g)",380,20,26,20,"Ilonggo sour stew","Jackfruit, Pork"
"Laswa (Iloilo)",Lunch/Dinner,"1 bowl (250g)",180,18,8,6,"Light vegetable soup","Rice, Vegetables"
"Piyanggang Manok (Tausug)",Lunch/Dinner,"1 cup (200g)",340,8,26,22,"Chicken with burnt coconut","Burnt coconut, Chicken, Coconut"
"Tiyula Itum (Tausug)",Lunch/Dinner,"1 bowl (300g)",360,12,28,22,"Black soup with burnt coconut","Burnt coconut, Coconut"
"Piaparan (Maranao)",Lunch/Dinner,"1 cup (200g)",360,14,24,22,"Coconut & turmeric",Coconut
"Pastil (Maguindanao)",Snack/Lunch,"1 pack (180g)",420,60,16,10,"Rice with shredded chicken","Chicken, Rice, Shredded chicken"
"Tinowa (Cebu)",Lunch/Dinner,"1 bowl (250g)",240,6,26,10,"Clear fish soup",Fish
"Linarang (Cebu)",Lunch/Dinner,"1 bowl (250g)",300,10,24,16,"Sour-savory fish stew",Fish
"Kinilaw na Lato",Snack/Lunch,"1 cup (150g)",120,10,4,4,"Seaweed salad","Rice, Vegetables"
"Bringhe (Kapampangan Paella)",Lunch/Dinner,"1 plate (300g)",520,78,18,12,"Sticky rice paella",Rice
Morcon,Lunch/Dinner,"1 slice (150g)",360,12,24,22,"Stuffed beef roulade",Beef
"Callos (Filipino)",Lunch/Dinner,"1 cup (200g)",320,16,24,18,"Tripe stew",Tripe
"Tinapa Fried Rice",Breakfast/Lunch,"1 cup (200g)",320,50,10,8,"Smoked fish fried rice","Fish, Garlic, Rice, Smoked fish, Tinapa"
Gising-Gising,Lunch/Dinner,"1 cup (200g)",300,14,14,20,"Spicy coconut green beans","Coconut, Green beans"
"Pritong Tilapia",Lunch/Dinner,150g,280,0,28,16,"Fried tilapia",Tilapia
"Pritong Bangus",Lunch/Dinner,150g,300,0,30,18,"Fried milkfish","Bangus, Fish"
"Inasal na Baboy",Lunch/Dinner,150g,420,6,28,30,"Grilled pork inasal",Pork
"Tinapang Galunggong",Lunch/Dinner,120g,240,0,24,14,"Smoked round scad","Galunggong, Tinapa"
"Lumpiang Togue",Snack,"2 pcs (120g)",240,28,6,10,"Bean sprout lumpia","Bean sprout, Lumpia wrapper"
"Binagoongan (Pork)",Lunch/Dinner,"1 cup (200g)",360,12,24,24,"Pork in shrimp paste","Pork, Shrimp"
"Ginataang Hipon",Lunch/Dinner,"1 cup (200g)",340,12,24,22,"Shrimp in coconut milk","Coconut, Coconut milk, Hipon, Shrimp"
"Ginataang Gulay (Mixed)",Lunch/Dinner,"1 cup (200g)",280,22,8,18,"Mixed veggies in coconut milk","Coconut, Coconut milk, Egg, Gulay"
"Tinapa at Kamatis",Breakfast/Lunch,"1 plate (150g)",220,8,16,12,"Smoked fish with tomato","Fish, Smoked fish, Tinapa, Tomato"
"Arroz Valenciana",Lunch/Dinner,"1 plate (300g)",540,80,18,12,"Fiesta rice dish",Rice
"Pritong Manok",Lunch/Dinner,150g,360,6,28,22,"Fried chicken",Chicken
"Inihaw na Manok",Lunch/Dinner,150g,320,4,28,20,"Grilled chicken",Chicken
"Skinless Longganisa",Breakfast,"2 links (80g)",280,6,12,22,"Homemade style",Longganisa
"Pork Tocino",Breakfast/Lunch,100g,290,20,12,18,"Sweet cured pork","Pork, Tocino"
"Beef Tapa",Breakfast/Lunch,100g,260,6,20,16,"Cured beef strips","Beef, Tapa"
"Luncheon Meatsilog",Breakfast,"1 set",620,62,20,30,"Luncheon Meat + sinangag + itlog","Egg, Rice"
Tinapasilog,Breakfast,"1 set",560,58,26,18,"Tinapa + sinangag + itlog","Egg, Rice, Tinapa"
"Bangus Bellysilog",Breakfast,"1 set",600,60,28,22,"Bangus Belly + sinangag + itlog","Bangus, Egg, Rice"
Embutidosilog,Breakfast,"1 set",640,60,22,26,"Embutido + sinangag + itlog","Egg, Rice"
Chickensilog,Breakfast,"1 set",590,60,28,20,"Chicken + sinangag + itlog","Chicken, Egg, Rice"
Tunasilog,Breakfast,"1 set",560,58,30,16,"Tuna + sinangag + itlog","Egg, Rice, Tuna"
Sardinassilog,Breakfast,"1 set",540,60,20,16,"Sardinas + sinangag + itlog","Egg, Rice, Sardinas"
"Corned Tunasilog",Breakfast,"1 set",550,60,26,18,"Corned Tuna + sinangag + itlog","Egg, Rice, Tuna"
Sisigsilog,Breakfast,"1 set",700,60,24,38,"Sisig + sinangag + itlog","Egg, Rice"
Bisteksilog,Breakfast,"1 set",650,58,30,26,"Bistek + sinangag + itlog","Egg, Rice"
Pichi-Pichi,Snack/Dessert,"1 slice/piece (80-120g)",343,37,2,6,"Traditional Filipino kakanin","Rice, Vegetables"
"Puto Bumbong",Snack/Dessert,"1 slice/piece (80-120g)",242,44,3,3,"Traditional Filipino kakanin","Rice, Vegetables"
"Suman sa Lihiya",Snack/Dessert,"1 slice/piece (80-120g)",353,64,2,11,"Traditional Filipino kakanin","Rice, Vegetables"
"Suman sa Ibus",Snack/Dessert,"1 slice/piece (80-120g)",288,32,2,3,"Traditional Filipino kakanin","Rice, Vegetables"
Butsi,Snack/Dessert,"1 slice/piece (80-120g)",235,44,6,11,"Traditional Filipino kakanin","Rice, Vegetables"
"Cassava Suman",Snack/Dessert,"1 slice/piece (80-120g)",186,65,3,12,"Traditional Filipino kakanin","Rice, Vegetables"
Binignit,Snack/Dessert,"1 slice/piece (80-120g)",359,64,5,5,"Traditional Filipino kakanin","Rice, Vegetables"
Kalamay,Snack/Dessert,"1 slice/piece (80-120g)",294,67,4,2,"Traditional Filipino kakanin","Rice, Vegetables"
Tibok-Tibok,Snack/Dessert,"1 slice/piece (80-120g)",220,57,4,6,"Traditional Filipino kakanin","Rice, Vegetables"
Yema,Snack/Dessert,"1 slice/piece (80-120g)",219,43,4,3,"Traditional Filipino kakanin","Rice, Vegetables"
Polvoron,Snack/Dessert,"1 slice/piece (80-120g)",203,54,2,7,"Traditional Filipino kakanin","Rice, Vegetables"
Pastillas,Snack/Dessert,"1 slice/piece (80-120g)",268,68,4,2,"Traditional Filipino kakanin","Rice, Vegetables"
Canonigo,Snack/Dessert,"1 slice/piece (80-120g)",297,64,2,8,"Traditional Filipino kakanin","Rice, Vegetables"
"Brazo de Mercedes",Snack/Dessert,"1 slice/piece (80-120g)",200,65,4,12,"Traditional Filipino kakanin","Rice, Vegetables"
Sylvanas,Snack/Dessert,"1 slice/piece (80-120g)",338,53,6,5,"Traditional Filipino kakanin","Rice, Vegetables"
"Sans Rival",Snack/Dessert,"1 slice/piece (80-120g)",360,34,2,12,"Traditional Filipino kakanin","Rice, Vegetables"
Napoleones,Snack/Dessert,"1 slice/piece (80-120g)",238,48,2,5,"Traditional Filipino kakanin","Rice, Vegetables"
Piaya,Snack/Dessert,"1 slice/piece (80-120g)",205,54,4,9,"Traditional Filipino kakanin","Rice, Vegetables"
Barquillos,Snack/Dessert,"1 slice/piece (80-120g)",342,53,3,7,"Traditional Filipino kakanin","Rice, Vegetables"
Otap,Snack/Dessert,"1 slice/piece (80-120g)",270,43,4,12,"Traditional Filipino kakanin","Rice, Vegetables"
Rosquillos,Snack/Dessert,"1 slice/piece (80-120g)",345,34,6,12,"Traditional Filipino kakanin","Rice, Vegetables"
Bañadas,Snack/Dessert,"1 slice/piece (80-120g)",223,64,3,4,"Traditional Filipino kakanin","Rice, Vegetables"
"Pan de Coco",Snack/Dessert,"1 slice/piece (80-120g)",298,54,4,12,"Traditional Filipino kakanin","Rice, Vegetables"
"Sinangag (Garlic Fried Rice) (Small Serving)",Breakfast,"1 cup (150g)",150,30,3,2,"Paired with tapa, tocino, or longganisa","Garlic, Longganisa, Rice, Tapa, Tocino"
"Sinangag (Garlic Fried Rice) (Large Serving)",Breakfast,"1 cup (150g)",250,50,5,3,"Paired with tapa, tocino, or longganisa","Garlic, Longganisa, Rice, Tapa, Tocino"
"Sinangag (Garlic Fried Rice) (Spicy Variant)",Breakfast,"1 cup (150g)",200,40,4,3,"Paired with tapa, tocino, or longganisa; spicy","Garlic, Longganisa, Rice, Tapa, Tocino"
"Sinangag (Garlic Fried Rice) (Low-Sodium)",Breakfast,"1 cup (150g)",200,40,4,3,"Paired with tapa, tocino, or longganisa; reduced salt","Garlic, Longganisa, Rice, Tapa, Tocino"
"Sinangag (Garlic Fried Rice) (With Brown Rice)",Breakfast,"1 cup (150g)",210,48,4,3,"Paired with tapa, tocino, or longganisa; whole grain option","Garlic, Longganisa, Rice, Tapa, Tocino"
"Sinangag (Garlic Fried Rice) (Fiesta Portion)",Breakfast,"1 cup (150g)",280,56,5,4,"Paired with tapa, tocino, or longganisa","Garlic, Longganisa, Rice, Tapa, Tocino"
"Sinangag (Garlic Fried Rice) (Budget Bowl)",Breakfast,"1 cup (150g)",170,34,3,2,"Paired with tapa, tocino, or longganisa","Garlic, Longganisa, Rice, Tapa, Tocino"
"Longganisa w/ Rice (Small Serving)",Breakfast,"1 link + 1 cup rice",337,41,11,15,"Common silog breakfast","Longganisa, Rice"
"Longganisa w/ Rice (Large Serving)",Breakfast,"1 link + 1 cup rice",562,68,18,25,"Common silog breakfast","Longganisa, Rice"
"Longganisa w/ Rice (Spicy Variant)",Breakfast,"1 link + 1 cup rice",450,55,15,20,"Common silog breakfast; spicy","Longganisa, Rice"
"Longganisa w/ Rice (Low-Sodium)",Breakfast,"1 link + 1 cup rice",450,55,15,20,"Common silog breakfast; reduced salt","Longganisa, Rice"
"Longganisa w/ Rice (With Brown Rice)",Breakfast,"1 link + 1 cup rice",472,63,15,21,"Common silog breakfast; whole grain option","Longganisa, Rice"
"Longganisa w/ Rice (Fiesta Portion)",Breakfast,"1 link + 1 cup rice",630,77,21,28,"Common silog breakfast","Longganisa, Rice"
"Longganisa w/ Rice (Budget Bowl)",Breakfast,"1 link + 1 cup rice",382,46,12,17,"Common silog breakfast","Longganisa, Rice"
"Tapsilog (Small Serving)",Breakfast,"1 set",487,45,22,18,"Tapa + sinangag + itlog","Egg, Rice, Tapa"
"Tapsilog (Large Serving)",Breakfast,"1 set",812,75,37,31,"Tapa + sinangag + itlog","Egg, Rice, Tapa"
"Tapsilog (Spicy Variant)",Breakfast,"1 set",650,60,30,25,"Tapa + sinangag + itlog; spicy","Egg, Rice, Tapa"
"Tapsilog (Low-Sodium)",Breakfast,"1 set",650,60,30,25,"Tapa + sinangag + itlog; reduced salt","Egg, Rice, Tapa"
"Tapsilog (With Brown Rice)",Breakfast,"1 set",682,69,31,26,"Tapa + sinangag + itlog; whole grain option","Egg, Rice, Tapa"
"Tapsilog (Fiesta Portion)",Breakfast,"1 set",909,84,42,35,"Tapa + sinangag + itlog","Egg, Rice, Tapa"
"Tapsilog (Budget Bowl)",Breakfast,"1 set",552,51,25,21,"Tapa + sinangag + itlog","Egg, Rice, Tapa"
"Tocilog (Small Serving)",Breakfast,"1 set",465,46,19,18,"Tocino + sinangag + itlog","Egg, Tocino"
"Tocilog (Large Serving)",Breakfast,"1 set",775,77,32,30,"Tocino + sinangag + itlog","Egg, Tocino"
"Tocilog (Spicy Variant)",Breakfast,"1 set",620,62,26,24,"Tocino + sinangag + itlog; spicy","Egg, Tocino"
"Tocilog (Low-Sodium)",Breakfast,"1 set",620,62,26,24,"Tocino + sinangag + itlog; reduced salt","Egg, Tocino"
"Tocilog (With Brown Rice)",Breakfast,"1 set",651,71,27,25,"Tocino + sinangag + itlog; whole grain option","Egg, Rice, Tocino"
"Tocilog (Fiesta Portion)",Breakfast,"1 set",868,86,36,33,"Tocino + sinangag + itlog","Egg, Tocino"
"Tocilog (Budget Bowl)",Breakfast,"1 set",527,52,22,20,"Tocino + sinangag + itlog","Egg, Tocino"
"Bangsilog (Small Serving)",Breakfast,"1 set",412,43,20,13,"Bangus + sinangag + itlog","Bangus, Egg, Rice"
"Bangsilog (Large Serving)",Breakfast,"1 set",687,72,33,22,"Bangus + sinangag + itlog","Bangus, Egg, Rice"
"Bangsilog (Spicy Variant)",Breakfast,"1 set",550,58,27,18,"Bangus + sinangag + itlog; spicy","Bangus, Egg, Rice"
"Bangsilog (Low-Sodium)",Breakfast,"1 set",550,58,27,18,"Bangus + sinangag + itlog; reduced salt","Bangus, Egg, Rice"
"Bangsilog (With Brown Rice)",Breakfast,"1 set",577,66,28,18,"Bangus + sinangag + itlog; whole grain option","Bangus, Egg, Rice"
"Bangsilog (Fiesta Portion)",Breakfast,"1 set",770,81,37,25,"Bangus + sinangag + itlog","Bangus, Egg, Rice"
"Bangsilog (Budget Bowl)",Breakfast,"1 set",467,49,22,15,"Bangus + sinangag + itlog","Bangus, Egg, Rice"
"Hotsilog (Small Serving)",Breakfast,"1 set",390,45,13,15,"Hotdog + sinangag + itlog","Egg, Hotdog, Rice"
"Hotsilog (Large Serving)",Breakfast,"1 set",650,75,22,25,"Hotdog + sinangag + itlog","Egg, Hotdog, Rice"
"Hotsilog (Spicy Variant)",Breakfast,"1 set",520,60,18,20,"Hotdog + sinangag + itlog; spicy","Egg, Hotdog, Rice"
